start,end
0:00:3,0:00:3
0:03:57,0:03:57
0:04:36,0:04:36
0:05:02,0:05:02
0:05:11,0:05:11
0:05:39,0:05:39
0:06:10,0:06:10
0:06:30,0:06:30
0:06:34,0:06:38
0:06:52,0:06:52
0:06:55,0:06:57
0:07:02,0:07:06
0:07:09,0:07:10
0:07:13,0:07:17
0:07:24,0:07:24
0:07:29,0:07:29
0:07:32,0:07:35
0:08:21,0:08:21
0:08:24,0:08:26
0:08:30,0:08:30
0:08:34,0:08:36
0:08:40,0:08:41
0:09:27,0:09:28
0:09:35,0:09:35
0:09:59,0:10:02
0:10:05,0:10:10
0:10:13,0:10:26
0:11:01,0:11:02
0:11:06,0:11:07
0:11:24,0:11:26
0:11:32,0:11:36
0:11:42,0:12:06
0:12:10,0:12:19
0:12:22,0:12:29
0:12:52,0:12:55
0:12:59,0:12:59
0:13:02,0:13:04
0:13:08,0:13:08
0:13:33,0:13:33
0:13:38,0:13:38
0:13:47,0:14:06
0:14:09,0:14:14
0:14:17,0:14:19
0:14:26,0:14:36
0:14:39,0:14:39
0:14:44,0:14:46
0:14:54,0:14:55
0:14:59,0:14:59
0:15:02,0:15:02
0:15:05,0:15:19
0:15:24,0:15:42
0:15:45,0:15:48
0:16:06,0:16:06
0:16:10,0:16:10
0:16:13,0:16:13
0:16:24,0:16:24
